age;educ;insch;male;nkids;married;emp
18;dec;False;False;0;False;0.9974942657648468
18;dec;False;False;0;True;0.997887675611546
18;dec;False;False;1;False;0.9953274897173567
18;dec;False;False;1;True;0.9960597478705469
18;dec;False;False;2;False;0.996017476777684
18;dec;False;False;2;True;0.996641967582292
18;dec;False;False;3;False;0.9932686872738115
18;dec;False;False;3;True;0.9943217524910617
18;dec;False;False;4;False;0.9932686872738115
18;dec;False;False;4;True;0.9943217524910617
18;dec;False;False;5;False;0.9932686872738115
18;dec;False;False;5;True;0.9943217524910617
18;dec;False;False;6;False;0.9932686872738115
18;dec;False;False;6;True;0.9943217524910617
18;dec;False;False;7;False;0.9932686872738115
18;dec;False;False;7;True;0.9943217524910617
18;dec;False;True;0;False;0.9974942657648468
18;dec;False;True;0;True;0.997887675611546
18;dec;False;True;1;False;0.9953274897173567
18;dec;False;True;1;True;0.9960597478705469
18;dec;False;True;2;False;0.996017476777684
18;dec;False;True;2;True;0.996641967582292
18;dec;False;True;3;False;0.9932686872738115
18;dec;False;True;3;True;0.9943217524910617
18;dec;False;True;4;False;0.9932686872738115
18;dec;False;True;4;True;0.9943217524910617
18;dec;False;True;5;False;0.9932686872738115
18;dec;False;True;5;True;0.9943217524910617
18;dec;False;True;6;False;0.9932686872738115
18;dec;False;True;6;True;0.9943217524910617
18;dec;False;True;7;False;0.9932686872738115
18;dec;False;True;7;True;0.9943217524910617
18;dec;True;False;0;False;0.8394815057647166
18;dec;True;False;0;True;0.9501004880468732
18;dec;True;False;1;False;0.7522092654146777
18;dec;True;False;1;True;0.9170262068655536
18;dec;True;False;2;False;0.3798414708933159
18;dec;True;False;2;True;0.6903936090266047
18;dec;True;False;3;False;0.5002592509395203
18;dec;True;False;3;True;0.7846914142753731
18;dec;True;False;4;False;0.5002592509395203
18;dec;True;False;4;True;0.7846914142753731
18;dec;True;False;5;False;0.5002592509395203
18;dec;True;False;5;True;0.7846914142753731
18;dec;True;False;6;False;0.5002592509395203
18;dec;True;False;6;True;0.7846914142753731
18;dec;True;False;7;False;0.5002592509395203
18;dec;True;False;7;True;0.7846914142753731
18;dec;True;True;0;False;0.8394815057647166
18;dec;True;True;0;True;0.9501004880468732
18;dec;True;True;1;False;0.7522092654146777
18;dec;True;True;1;True;0.9170262068655536
18;dec;True;True;2;False;0.3798414708933159
18;dec;True;True;2;True;0.6903936090266047
18;dec;True;True;3;False;0.5002592509395203
18;dec;True;True;3;True;0.7846914142753731
18;dec;True;True;4;False;0.5002592509395203
18;dec;True;True;4;True;0.7846914142753731
18;dec;True;True;5;False;0.5002592509395203
18;dec;True;True;5;True;0.7846914142753731
18;dec;True;True;6;False;0.5002592509395203
18;dec;True;True;6;True;0.7846914142753731
18;dec;True;True;7;False;0.5002592509395203
18;dec;True;True;7;True;0.7846914142753731
18;des;False;False;0;False;0.9615124919574829
18;des;False;False;0;True;0.972989506473547
18;des;False;False;1;False;0.9362006495090385
18;des;False;False;1;True;0.9548714153308102
18;des;False;False;2;False;0.8920933444869152
18;des;False;False;2;True;0.9226049451713695
18;des;False;False;3;False;0.7996173054571319
18;des;False;False;3;True;0.8519374459639888
18;des;False;False;4;False;0.7996173054571319
18;des;False;False;4;True;0.8519374459639888
18;des;False;False;5;False;0.7996173054571319
18;des;False;False;5;True;0.8519374459639888
18;des;False;False;6;False;0.7996173054571319
18;des;False;False;6;True;0.8519374459639888
18;des;False;False;7;False;0.7996173054571319
18;des;False;False;7;True;0.8519374459639888
18;des;False;True;0;False;0.9615124919574829
18;des;False;True;0;True;0.972989506473547
18;des;False;True;1;False;0.9362006495090385
18;des;False;True;1;True;0.9548714153308102
18;des;False;True;2;False;0.8920933444869152
18;des;False;True;2;True;0.9226049451713695
18;des;False;True;3;False;0.7996173054571319
18;des;False;True;3;True;0.8519374459639888
18;des;False;True;4;False;0.7996173054571319
18;des;False;True;4;True;0.8519374459639888
18;des;False;True;5;False;0.7996173054571319
18;des;False;True;5;True;0.8519374459639888
18;des;False;True;6;False;0.7996173054571319
18;des;False;True;6;True;0.8519374459639888
18;des;False;True;7;False;0.7996173054571319
18;des;False;True;7;True;0.8519374459639888
18;des;True;False;0;False;0.8394815057647166
18;des;True;False;0;True;0.9501004880468732
18;des;True;False;1;False;0.7522092654146777
18;des;True;False;1;True;0.9170262068655536
18;des;True;False;2;False;0.3798414708933159
18;des;True;False;2;True;0.6903936090266047
18;des;True;False;3;False;0.5002592509395203
18;des;True;False;3;True;0.7846914142753731
18;des;True;False;4;False;0.5002592509395203
18;des;True;False;4;True;0.7846914142753731
18;des;True;False;5;False;0.5002592509395203
18;des;True;False;5;True;0.7846914142753731
18;des;True;False;6;False;0.5002592509395203
18;des;True;False;6;True;0.7846914142753731
18;des;True;False;7;False;0.5002592509395203
18;des;True;False;7;True;0.7846914142753731
18;des;True;True;0;False;0.8394815057647166
18;des;True;True;0;True;0.9501004880468732
18;des;True;True;1;False;0.7522092654146777
18;des;True;True;1;True;0.9170262068655536
18;des;True;True;2;False;0.3798414708933159
18;des;True;True;2;True;0.6903936090266047
18;des;True;True;3;False;0.5002592509395203
18;des;True;True;3;True;0.7846914142753731
18;des;True;True;4;False;0.5002592509395203
18;des;True;True;4;True;0.7846914142753731
18;des;True;True;5;False;0.5002592509395203
18;des;True;True;5;True;0.7846914142753731
18;des;True;True;6;False;0.5002592509395203
18;des;True;True;6;True;0.7846914142753731
18;des;True;True;7;False;0.5002592509395203
18;des;True;True;7;True;0.7846914142753731
18;none;False;False;0;False;1.1103626981445457e-12
